Investigation,Participants
Ingenieria ontologica,Asunción Gómez-Pérez
Ingenieria ontologica,Mari Carmen Suárez-Figueroa
Ingenieria ontologica,Mariano Fernández-López
Ingenieria ontologica,Jorge Gracia
Ingenieria ontologica,Esther Lozano 
Ingenieria ontologica,María Poveda
Web semantica y linked data,Asunción Gómez-Pérez
Web semantica y linked data,Óscar Corcho
Web semantica y linked data,Mari Carmen Suárez-Figueroa
Web semantica y linked data,Raúl García-Castro
Web semantica y linked data,Héctor Andres García-Silva
Web semantica y linked data,Luis Vilches.
e-Ciencia semantica,Óscar Corcho
e-Ciencia semantica,María Pérez Hernández
e-Ciencia semantica,Rafael González
e-Ciencia semantica,Daniel Garijo
e-Ciencia semantica,Idafen Santana
e-Ciencia semantica,Olga Giraldo
e-Ciencia semantica,Carlos Badenes
Ingenieria lingüística,
Integracion de datos (Big Data e Internet del Futuro),Óscar Corcho
Integracion de datos (Big Data e Internet del Futuro),Raúl García-Castro
Integracion de datos (Big Data e Internet del Futuro), Alejandro Llaves
Integracion de datos (Big Data e Internet del Futuro),José Mora
Integracion de datos (Big Data e Internet del Futuro),Freddy Priyatna