id results,Ontologia,Sub-Ontologia,Descripcion,Description,Enlaces,Figuras,Referencias
ontologia,Buscamedia Ontologies: M3,,"El objetivo de la red de ontologías M3 es representar el conocimiento relacionado con la información multimedia de diferentes tipos de recursos (texto, video, audio,  audiovisual o imagen) en diferentes dominios y teniendo en cuenta un contexto multilingüe. La red de ontologías M3 cubre las siguientes perspectivas: multimedia, multidominio, y multilingüe: La perspectiva multimedia modela información multimedia con diferente granularidad: información de bajo nivel (como los descriptores MPEG-7, información sobre la estructura multimedia (como los fragmentos), así como información del contenido del recurso multimedia (información relacionada con los diferentes dominios); La perspectiva multidominio proporciona información general entre dominios (como eventos, agentes, acciones) así como información particular de un conjunto seleccionado de dominios. Actualmente, la versión de la M3 cubre el dominio de deportes y tres subdominios del mismo (Futbol, Baloncesto, y Fórmula 1); La perspectiva multilingüe representa la información lingüística necesaria para proporcionar el contenido de la M3 tanto en inglés como en las lenguas co-oficiales de España (castellano, catalán, gallego, y vasco). El desarrollo de la red de ontologías M3 se centra en la reutilización de ontologías y recursos disponibles siguiendo la Metodología NeOn.
","The objective of the M3 ontology network is to represent knowledge related to multimedia information from different types of resources (text, video, audio, audiovisual or image) in different domains and taking into account a multilingual context. The M3 ontology network covers the following perspectives: multimedia, multidomain, and multilingual: The multimedia perspective models multimedia information with different granularity: low-level information (such as MPEG-7 descriptors, information about the multimedia structure (such as fragments), as well as information on the content of the multimedia resource (information related to the different domains); The multidomain perspective provides general information between domains (such as events, agents, actions) as well as specific information on a selected set of domains. Currently, the version of the M3 covers the domain of sports and three subdomains of it (Soccer, Basketball, and Formula 1); The multilingual perspective represents the linguistic information necessary to provide the content of the M3 both in English and in the co-official languages ​​of Spain (Spanish , Catalan, Galician, and Basque) The development of the M3 ontology network focuses on reuse of ontologies and available resources following the NeOn Methodology.",https://oeg.fi.upm.es/files/m3/M3-v2.3.rar,https://oeg.fi.upm.es/images/stories/tecnologias/ontologiam3general.png,
ontologia,FP Research project ontologies,,"En los proyectos de investigación de Programa Marco de la Comisión European se han usado un conjunto de ontologías que modelan la información. Este conjunto de ontologías son: ontología de documentación, de eventos, de organizaciones, de persona y de proyecto. Esta ontologías se han utilizado en diferentes proyecto del PM6 y PM7, tales como NeOn (PM6), SemsorGridEnv (PM6), SEALS (PM7), etc.","In the research projects of the European Commission's Framework Program, a set of ontologies have been used to model the information. This set of ontologies are: documentation, event, organization, person and project ontology. These ontologies have been used in different PM6 and PM7 projects, such as NeOn (PM6), SemsorGridEnv (PM6), SEALS (PM7), etc.",,,
ontologia,FP Research project ontologies, Ontología de Documentación (Documentation Ontology),"Modela el conocimiento de la documentación utilizada en un proyecto. El principal concepto de esta ontología es Documentación (Documentation), que se organiza de acuerdo a los distintos tipos de documentos en una ontología.","Models knowledge of the documentation used in a project. The main concept of this ontology is Documentation, which is organized according to the different types of documents in an ontology.",https://oeg.fi.upm.es/files/european/Documentation_Ontology.owl,,
ontologia,FP Research project ontologies, Ontología de Eventos (Event Ontology) ,"Modela el conocimiento acerca de eventos relaciones a un proyecto. El principal concepto de la ontología es Evento (Event), que se organiza en una taxonomía con cinco tipos de eventos (conferencia, talleres, reuniones de área, etc.).","Models knowledge about events related to a project. The main concept of the ontology is Event, which is organized in a taxonomy with five types of events (conference, workshops, area meetings, etc.).",https://oeg.fi.upm.es/files/european/Event_Ontology.owl,,
ontologia,FP Research project ontologies, Ontología de Organizaciones (Organization Ontology),"Modela el conocimiento acera de las organizaciones que trabajan en un proyecto. El principal concepto en esta ontología es Organización (Organization), que se divide en tres subclases. La información más importante acerca de las organizaciones que trabaja en un proyecto es acerca de la organización en si misma u su localización.","Models knowledge about organizations working on a project. The main concept in this ontology is Organization, which is divided into three subclasses. The most important information about the organizations working on a project is about the organization itself and its location.",https://oeg.fi.upm.es/files/european/Organization_Ontology.owl,,
ontologia,FP Research project ontologies,Ontología de Personas (Person Ontology),"Modela el conocimiento acera de las personas que trabajan en un proyecto. Esta ontología está enfocada para la información personal de uso general.  El principal concepto en esta ontología es Persona (Person). Se ha decidido dividir este concepto en cuatro diferentes tipos: personal universitario, trabajadores de una compañía, coordinador de proyecto y estudiantes.","Models the knowledge about the people who work on a project. This ontology is focused on personal information for general use. The main concept in this ontology is Person (Person). It has been decided to divide this concept into four different types: university staff, company workers, project coordinator and students.",https://oeg.fi.upm.es/files/european/Person_Ontology.owl,,
ontologia,FP Research project ontologies, Ontología de Proyectos (Project Ontology),"Modela el anexo técnico de un proyecto, incluyendo información tales como: hitos, paquetes de trabajo, tareas, proyecto o redes de excelencia, aéreas de trabajo, etc. Esta ontología no está organizada como una taxonomía; solo incluye algunos conceptos y relaciones entre ellos.","Models the technical annex of a project, including information such as: milestones, work packages, tasks, project or networks of excellence, work areas, etc. This ontology is not organized as a taxonomy; it only includes some concepts and relationships between them.",https://oeg.fi.upm.es/files/european/Project_Ontology.owl,,
ontologia,hydrOntology: una ontología global del dominio hidrográfico,,"hydrOntology (Vilches-Blázquez et al., 2009) es una ontología en OWL que sigue un enfoque de desarrollo de arriba hacia abajo. Su principal objetivo es armonizar las fuentes de información heterogénea procedentes de varios organismos cartográficos y otros recursos internacionales. Inicialmente, esta ontología fue creada como una ontología local que establecía correspondencias entre diferentes fuentes de datos (catálogos de características, diccionarios geográficos, etc.) del Instituto Geográfico Nacional Español (IGN-E). Su propósito era servir como un marco de armonización entre los productores cartográficos españoles. Más tarde, la ontología se ha convertido en una ontología de dominio global y que trata de cubrir la mayor parte de los conceptos del dominio hidrográfico. hydrOntology se ha desarrollado de acuerdo a los principios de diseño de  ontologías propuestos por (Gruber, 1995) y (al Arpírez et al., 1998). Algunas de sus características más importantes son que los nombres de conceptos (clases) son suficientemente explicativos y están escritos correctamente. Así, cada clase trata de agrupar sólo un concepto y, por tanto, las clases en corchetes  y/o con enlaces (""y"", ""o"") se evitan. De acuerdo con ciertas convenciones de nombres, cada clase se escribe con una letra mayúscula al principio de cada palabra, mientras que las relaciones y atributos se escriben con letras minúsculas. En cuanto a las cuestiones metodológicas, el enfoque adoptado es METHONTOLOGY, una metodología de construcción de la ontología de uso común. Esta metodología hace hincapié en la reutilización de ontologías y de alto nivel ya existentes y propone utilizar, con fines de formalización, un conjunto de representaciones intermedias que pueden ser transformadas automáticamente después en diferentes lenguajes formales. Una descripción detallada de la metodología de este edificio ontología se pueden encontrar en (Gómez-Pérez et al., 2003). Para desarrollar esta ontología siguiendo un enfoque de arriba hacia abajo, se han consultado distintos modelos de conocimiento (catálogos de características del IGN-E, la Directiva Marco Europea del Agua, la Biblioteca Digital de Alejandría, el Tesauro de la UNESCO, el Tesauro de Getty,GeoNames, códigos FACC, EuroGlobalMap, EuroRegionalMap, EuroGeoNames, varios nomenclátores españoles y muchos otros), además, algunas se han considerado cuestiones relacionadas con la integración de información geográfica y diversos criterios de estructuración (Vilches-Blázquez et al., 2007). El objetivo era cubrir la mayoría de las actuales fuentes GI y construir una ontología de dominio global exhaustiva. Por esta razón, la ontología contiene más de ciento cincuenta (150) conceptos relevantes relacionados con la hidrografía (por ejemplo, ríos, embalses, lagos, canales, y otros), 34 relaciones, 66 atributos y 256 axiomas. Por último, la documentación de la ontología es exhaustiva y, en este sentido, las definiciones y sus fuentes se pueden encontrar en cada concepto (clase). La ontología tiene una importante cantidad de etiquetas con nombres alternativos (sinónimos) así como las procedencias de los conceptos y los sinónimos.","hydrOntology (Vilches-Blázquez et al., 2009) is an ontology in OWL that follows a top-down development approach. Its main objective is to harmonize the sources of heterogeneous information from various cartographic organizations and other international resources. Initially, this ontology was created as a local ontology that established correspondences between different data sources (feature catalogs, gazetteers, etc.) of the Spanish National Geographic Institute (IGN-E). Its purpose was to serve as a harmonizing framework among Spanish cartographic producers. Later, the ontology has become a global domain ontology and it tries to cover most of the concepts of the hydrographic domain. hydrOntology has been developed according to the ontology design principles proposed by (Gruber, 1995) and (al Arpírez et al., 1998). Some of its most important characteristics are that the names of concepts (classes) are sufficiently explanatory and are written correctly. Thus, each class tries to group only one concept and, therefore, classes in brackets and / or with links (""and"", ""or"") are avoided. According to certain naming conventions, each class is written with a capital letter at the beginning of each word, while relationships and attributes are written with lowercase letters. Regarding methodological issues, the approach adopted is METHONTOLOGY, a commonly used ontology construction methodology. This methodology emphasizes the reuse of existing high-level and ontologies and proposes to use, for formalization purposes, a set of intermediate representations that can be automatically transformed later into different formal languages. A detailed description of the methodology of this ontology building can be found in (Gómez-Pérez et al., 2003). To develop this ontology following a top-down approach, different knowledge models have been consulted (IGN-E catalogs of characteristics, the European Water Framework Directive, the Digital Library of Alexandria, the UNESCO Thesaurus, the Thesaurus of Getty, GeoNames, FACC codes, EuroGlobalMap, EuroRegionalMap, EuroGeoNames, various Spanish gazetteers and many others), in addition, some have been considered issues related to the integration of geographic information and various structuring criteria (Vilches-Blázquez et al., 2007) .
The goal was to cover most of the current GI sources and build a comprehensive global domain ontology. For this reason, the ontology contains more than one hundred and fifty (150) relevant concepts related to hydrography (for example, rivers, reservoirs, lakes, canals, and others), 34 relationships, 66 attributes, and 256 axioms. Finally, the documentation of the ontology is exhaustive and, in this sense, the definitions and their sources can be found in each concept (class). The ontology has a significant number of tags with alternative names (synonyms) as well as the provenances of concepts and synonyms.",https://oeg.fi.upm.es/files/hydrontology/hydrOntology_GeoLinkedData.owl,,"Arpírez JC, Gómez-Pérez A, Lozano A, Pinto HS (ONTO)2Agent: An ontology-based WWW broker to select ontologies. In: Gómez-Pérez A, Benjamins RV (eds) ECAI'98 Workshop on Applications of Ontologies and Problem-Solving Methods. Brighton, (UK), 1998, pp 16-24.
Gómez-Pérez, A., Fernández-López, M., Corcho, O., 2003. Ontological Engineering. Springer-Verlag, London (United Kingdom).
Gruber T.R. (1995) Toward principles for the design of ontologies used for knowledge sharing, International Journal of Human-Computer Studies, v.43 n.5-6.
Vilches-Blázquez, L. M., Ramos, J. A., López-Pellicer, F. J., Corcho, O., Nogueras-Iso, J. (2009) An approach to comparing different ontologies in the context of hydrographical information. Popovich et al., (eds.): IF&GIS'09. LNG&C Springer. Pages: 193-207, St. Petersburg, Russia.
Vilches-Blázquez L.M., Bernabé-Poveda M.A., Suárez-Figueroa M.C., Gómez-Pérez A., Rodríguez-Pascual A.F. ""Towntology & hydrOntology: Relationship between Urban and Hydrographic Features in the Geographic Information Domain"". In Ontologies for Urban Development. Studies in Computational Intelligence, Springer. 2007, vol.61, pp73-84
"
ontologia,LIR - Ontología,,LIR es un modelo lingüístico propietario que está previsto que se publique y se utiliza con ontologías de dominio. Se ha implementado como una ontología en OWL,LIR is a proprietary language model that is expected to be published and used with domain ontologies. It has been implemented as an ontology in OWL,https://oeg.fi.upm.es/files/lir/lir.owl,,https://oeg.fi.upm.es/index.php/es/technologies/63-lir/index.html
ontologia,Non-Ontological Resource Metadata Vocabulary (NoRMV),,"Non-Ontological Resource Metadata Vocabulary (NoRMV) pretende ser un estándar de metadatos que refleja las características más relevantes de NORs por soportatar su reutilización. Este vocabulario permite: describir los recursos no ontológicos disponibles, incluir en la ontología generada la información de procedencia mediante la ampliación del Ontology Metadata Vocabulary (OMV)","Non-Ontological Resource Metadata Vocabulary (NoRMV) aims to be a metadata standard that reflects the most relevant characteristics of NORs by supporting their reuse. This vocabulary allows: describing available non-ontological resources, including provenance information in the ontology generated by expanding the Ontology Metadata Vocabulary (OMV)",https://oeg.fi.upm.es/files/normv/normv.owl,,
ontologia,OMV - Ontología,,"El Vocabulario de Metadatos de una Ontología OMV (por sus siglas en inglés) es una propuesta de estándar para la descripción de ontologías y entidades relacionadas. El esquema de metadatos OMV está formalmente representado como una ontología y está diseñado de forma modular: OMV distingue entre el núcleo y diferentes extensiones. La captura de información básica se espera que sea de interés para la mayoría de los ajustes de la reutilización de ontologías, mientras que las extensiones permiten a los desarrolladores de ontologías y usuarios especificar tareas de aplicaciones específicas e información relacionada con ontologías (por ejemplo, mapeos, evaluación de ontologías, cambios en las ontologías, etc). ","The OMV Ontology Metadata Vocabulary is a proposed standard for the description of ontologies and related entities. The OMV metadata schema is formally represented as an ontology and is designed in a modular way: OMV distinguishes between the kernel and different extensions. Capturing basic information is expected to be of interest to most ontology reuse settings, while extensions allow ontology developers and users to specify specific application tasks and information related to ontologies (e.g. mappings , evaluation of ontologies, changes in ontologies, etc).",https://oeg.fi.upm.es/files/omv/OMV.owl,,https://oeg.fi.upm.es/index.php/es/component/content/15/75-omv/index.html
ontologia,OMV - Ontology Metadata Vocabulary,,"El Ontology Metadata Vocabulary OMV es un estándar propuesto para describir ontologías y las entidades relacionadas. El esquema de metadatos de OMV está formalmente representado como una ontología y está diseñado de forma modular: OMV distingue entre el OMV Core y varias extensiones OMV. El núcleo, OMV Core, captura información que será relevante para la mayor parte de las configuraciones del proceso de reutilización de ontologías, mientras que las extensiones, OMV Extensions,  permiten a los desarrolladores de ontologías y usuarios especificar tareas y aplicaciones específicas a la información relacionada con la ontología (por ejemplo, mappings, evaluación de la ontología, cambios de la ontología, etc.).  ¿Cuándo habría que usarlo? Las ontologías han sufrido un enorme desarrollo en muchos ámbitos en los últimos años, especialmente en el contexto de la Web Semántica. Actualmente, sin embargo, el intercambio de conocimientos eficiente y la reutilización, un pre-requisito para la realización de la visión de la Web Semántica, es una tarea difícil ya que es difícil encontrar y compartir ontologías debido a la falta de normas para documentar y anotar ontologías con información de metadatos. Sin los metadatos específicos a las ontologías específicas, los desarrolladores no son capaces de explotar las ontologías existentes, lo que conduce a problemas de interoperabilidad, así como la duplicación de esfuerzos.  Así que, con el fin de proporcionar una base para un acceso efectivo y un intercambio de ontologías en la web, es necesario ponerse de acuerdo en un estándar para los metadatos de las ontologías que sea un con conjunto común de términos y definiciones que describan las ontologías, y que se denomine vocabulario de metadatos (Ontology Metadata Vocabulary OMV). Por lo tanto, OMV permite a los usuarios del mundo académico y la industria identificar, encontrar y aplicar - básicamente en términos de reutilización - ontologías y entidades relacionadas con eficacia y eficiencia. ¿Cómo usarlo? Los desarrolladores de ontologías pueden fácilmente crear extensiones de OMV especificando tareas, aplicaciones e información relacionada con la ontología. Dichas extensiones deben ser compatibles con el esquema del núcleo de OMV pero al mismo tiempo deben cumplir con los requisitos de dominio, tareas o las configuraciones de la comunidad. Los elementos de OMV se clasifican en función de su impacto en los términos de reusabilidad  del contenido descrito en la ontología (por ejemplo, required, optional) y  de acuerdo con el tipo y el propósito de la información contenida (por ejemplo, la disponibilidad, la procedencia, aplicación, etc.) Algunos ejemplos del uso de los OMV se pueden encontrar en aplicaciones tales como la interfaz gráfica de Oyster de NeOn toolkit (http://neon-toolkit.org/wiki/Oyster-GUI) o Watson Semántica Gateway (http://watson.kmi.open.ac.uk/WatsonWUI). ¿Dónde se puede usar? OMV se ha sido utilizado en la red temática europea de excelencia Knowledge Web y en el proyecto europeo NeOn. Ya se ha aplicado con éxito en varias aplicaciones de web semántica en ambos proyectos y es el esquema usado para anotar las ontologías en red de NeOn Toolkit. Particularmente,  OMV proporciona la base para la interoperabilidad a nivel de la herramienta a través de una interfaz común para los registros de la ontología o repositorios (por ejemplo, Oyster, Centrasite) y aplicaciones relacionadas, como Watson. Además, otras entidades fuera de nuestros proyectos (por ejemplo, el proyecto Protègè) se están interesando en la adopción de OMV..

 ","The Ontology Metadata Vocabulary OMV is a proposed standard for describing ontologies and related entities. The OMV metadata schema is formally represented as an ontology and is designed in a modular way: OMV distinguishes between the OMV Core and various OMV extensions. The core, OMV Core, captures information that will be relevant to most configurations of the ontology reuse process, while the extensions, OMV Extensions, allow ontology developers and users to specify specific tasks and applications to related information. with the ontology (for example, mappings, ontology evaluation, ontology changes, etc.). When should it be used? Ontologies have undergone enormous development in many areas in recent years, especially in the context of the Semantic Web. Currently, however, efficient knowledge sharing and reuse, a prerequisite for realizing the Semantic Web vision, is a difficult task as it is difficult to find and share ontologies due to the lack of standards to document and annotate ontologies with metadata information. Without metadata specific to specific ontologies, developers are not able to exploit existing ontologies, leading to interoperability issues, as well as duplication of effort. So, in order to provide a basis for effective access and exchange of ontologies on the web, it is necessary to agree on a standard for ontology metadata that is a common set of terms and definitions that describe the ontologies, and that it is called metadata vocabulary (Ontology Metadata Vocabulary OMV). Thus, OMV enables users from academia and industry to identify, find and apply - basically in terms of reuse - ontologies and related entities with effectiveness and efficiency. How to use it? Ontology developers can easily create OMV extensions by specifying tasks, applications, and information related to the ontology. These extensions must be compatible with the OMV kernel schema but at the same time must comply with the domain requirements, tasks or the community configurations. OMV elements are classified based on their impact on the reusability terms of the content described in the ontology (for example, required, optional) and according to the type and purpose of the information contained (for example, availability, the source, application, etc.) Some examples of the use of OMVs can be found in applications such as the Oyster graphical interface of NeOn toolkit (http://neon-toolkit.org/wiki/Oyster-GUI) or Watson Semantics Gateway (http://watson.kmi.open.ac.uk/WatsonWUI). Where can it be used? OMV has been used in the European thematic network of excellence Knowledge Web and in the European NeOn project. It has already been successfully applied in various semantic web applications in both projects and is the schema used to annotate the NeOn Toolkit network ontologies. In particular, OMV provides the foundation for tool-level interoperability through a common interface for ontology registries or repositories (eg, Oyster, Centrasite) and related applications, such as Watson. In addition, other entities outside of our projects (for example, the Protègè project) are becoming interested in the adoption of OMV.",,https://oeg.fi.upm.es/images/stories/tecnologias/omv.png   https://oeg.fi.upm.es/images/stories/tecnologias/omvcore.png,"El consorcio OMV está trabajando hacia la normalización de OMV en estrecha colaboración con el Stanford Center for Biomedial Informatics Research (BMIR). Por lo tanto, el consorcio OMV está a cargo del desarrollo y las actividades de normalización. Algunas publicaciones de OMV son:
Hartmann, J.; Bontas E.; Palma R.; Gómez-Pérez, A.: ""DEMO - Design Environment for Metadata Ontologies."" In: Proceedings of the 3rd European Semantic Web Conference, ESWC 2006. Volume 4011. June 2006. Budva, Montenegro. Springer Berlin. 427-441. Conferencia ranking A.
Hartmann, J.; Palma, R.; Sure, Y.; Haase, P.; Suarez-Figueroa, M. ""OMV- Ontology Metadata Vocabulary"". In: Proceedings of the International Workshop on Ontology Patterns for the Semantic Web, located at the conference International Semantic Web Conference, ISWC2005. November, 2005. Galway, Ireland.
Palma, R., Hartmann, J.; Haase, P.  ""O M V - Ontology Metadata Vocabulary for the Semantic Web"". Technical Report Version 2.4. 2008."
ontologia,Ontología Gestión de Recursos Humanos,,"La Ontología Gestión de Recursos Humanos, actuará como un ""lenguaje común"" mediante un conjunto de vocabularios controlados para describir los detalles de una oferta de trabajo y el currículum vitae del demandante de empleo. La ontología se desarrolló siguiendo la metodología NeOn para la construcción de Redes de Ontologías y con las herramientas de ingeniería de ontologías WSMT y WebODE. En la actualidad la ontología está disponible en WSML.                                       The ontology described in this section will act as a common ""language"" in the form of a set of controlled vocabularies to describe the details of a job posting and the CV of a job seeker. The ontology was developed following the NeOn Methodology for Building Ontology Networks and with the ontology engineering tools WSMT and WebODE. The ontology is composed of thirteen modular ontologies: Competence, Compensation, Driving License, Economic Activity, Education, Geography, Job Offer, Job Seeker, Labour Regulatory, Language, Occupation, Skill and Time. The main subontologies are the Job Offer and Job Seeker, which are intended to represent the structure of a job posting and a CV respectively. While these two subontologies were built taking as a starting point some HR-XML recommendations, the other subontologies were derived from some available international standards (like NACE, ISCO-88 (COM), FOET, etc.), Employment Services classifications and international codes (like ISO 3166, ISO 6392, etc.) that best fit the European requirements.The figure below presents these thirteen modular ontologies (each ontology is represented by a triangle). Ten of them were obtained after wrapping the original format of the standard/classification, using ad hoc translator or wrapper for each standard/classification.In order to make possible the enrichment of the standards, it was necessary to import them into the ontology engineering tool WebODE. This process consisted in implementing the necessary conversions mechanisms for transforming the standards into WebODE's knowledge model. For this purpose we developed for each standard/classification an ad hoc translator (wrapper) that transformed all the data stored in external resources into WebODE's knowledge model. Next, these standards/classifications can be exported into ontologies expressed in WSML format by using an export utility of WebODE.
Once we transformed the standards into WSML ontologies, the next step was to enrich them introducing concept attributes and ad hoc relationships between ontology concepts of the same or different taxonomies. We performed this task doing the following. We created from scratch the Job Seeker Ontology (models the job seeker and his/her CV information), and the Job Offer Ontology (models the job vacancy, job offer and employer information) following some HR-XML recommendations. Moreover, we defined relationships between the concepts of the Job Seeker and Job Offer Ontologies and the concepts defined in the standard/classification based ontologies.
Next we provide the conceptualization of the mentioned ontologies.
Job Seeker Ontology. This ontology models knowledge of job seeker and CV information used in the SEEMP Project. The Job Seeker Ontology imports concepts from the education ontology, language ontology, economic activity ontology, compensation ontology, geography ontology, driving license ontology, labour regulatory ontology and skill ontology, and these imported concepts are used to connect the Job Seeker Ontology with the other ontologies. Examples of the relationships can be: 'Job Seeker has driving license Driving License' (with the Driving License concept from the Driving License Ontology), 'Job Seeker has education Education' (with the Education concept from the Education Ontology), 'Job Seeker has mother tongue Language' (with the Language concept from the Language Ontology), etc.
